507
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes_2
1,0.74977458,0.66061705,0,0,0,1,5.5866766,0.33272284,5.1923695,5.9581227,4.4672489,3.9360373,19.436031,20.884678,33.439632,4.4951482,1.686437,1.1610672,0,14,0.73084319,1,0,0,412.15659,412.15659
2,0.73551589,0.51533848,0.44854602,-0.45606205,0.68710434,0.34453082,2.6779451,1.1502621,0.96102327,4.2173615,3.1019363,2.1733687,2.4566665,26.129999,27.023331,1.2418762,1.3881549,2.8292894,0,8,0.71585321,1,1,1,111.39367,111.39367
3,0.2220328,0.19057672,0.61622423,-0.41142407,0.58050179,0.33766195,3.1722057,1.6474221,6.2800117,20.408188,4.5312872,3.8893254,58.822544,3.7451265,17.488708,1.5089455,1.6689579,2.686316,0,15,0.025640406,1,1,1,724.05884,724.05884
4,0.20983045,0.19740438,0.5814721,0.58666915,-0.32365227,0.46147457,2.0706449,0.036902074,2.6508887,28.954739,6.0755858,5.7157922,14.166468,54.432495,6.8189416,4.543067,1.943979,2.9633727,0,21,0.017839054,1,1,1,1882.5531,1882.5531
5,0.74197686,0.65540332,-0.25801882,-0.74983823,-0.24306595,0.55864817,3.2742751,0.67655325,4.4264359,5.5482621,4.1166821,3.6363492,38.120689,8.2402287,52.213783,1.7848819,1.3811883,0.08061181,0,11,0.69023997,1,0,0,323.04166,323.04166
6,0.76260686,0.66882747,0.69420511,-0.11472452,0.65667593,0.27146688,0.96052945,1.1971754,6.1003847,7.263103,5.5388923,4.8577628,48.115192,44.338226,3.8754897,1.799017,1.560961,2.1265769,0,15,0.6784175,1,1,1,757.47699,757.47699
7,0.81075609,0.64964944,-0.071763016,0.74333143,0.20508903,0.63265073,0.54171169,0.24635218,3.7148912,5.7019553,4.6228948,3.704272,34.39333,28.58666,20.482855,1.3329765,1.4171443,2.5198913,0,11,0.78703892,1,0,0,389.87784,389.87784
8,0.86492687,0.76320368,0,0,0,1,1.148232,1.1810534,0.010515153,6.216671,5.376966,4.744586,20.844435,25.311108,51.131599,4.3075686,1.5160942,2.2439501,0,12,0.79756552,1,0,0,634.94391,634.94391
9,0.84484798,0.77988207,-0.071763016,0.74333143,0.20508903,0.63265073,2.1210353,1.42048,6.1246519,7.9273343,6.6973929,6.1823864,11.147579,29.224222,29.93047,1.1789609,1.2027349,1.4610226,0,21,0.76532054,1,0,0,1303.3059,1303.3059
10,0.92051119,0.75906342,-0.67626929,-0.43159568,-0.58336562,0.12676577,2.2003751,1.7029021,5.4009995,5.3111897,4.8890095,4.0315299,61.567574,30.421612,61.507187,1.924858,1.86213,0.78878635,0,8,0.73359311,1,1,1,412.15659,412.15659
11,0.82370532,0.66142386,0.485387,0.62839228,-0.47739887,0.37631497,3.0996385,2.2457771,0.53912163,6.3663988,5.2440367,4.2108879,55.699337,61.90797,52.170658,4.957943,1.8348074,3.1317511,0,13,0.75690836,1,1,1,556.96838,556.96838
12,0.80395019,0.76858318,0.61778271,0.34742945,-0.35357317,0.61042887,0.66649204,1.0781848,5.0581393,5.9276071,4.765501,4.5558591,33.053322,51.26741,20.149624,4.6337461,1.1633558,2.7915719,0,12,0.69523382,1,0,0,501.27151,501.27151
13,0.80665624,0.77397656,0,0,0,1,2.9409716,1.8339826,5.6851654,7.6617098,6.180366,5.9299836,32.214138,49.76498,48.163307,4.6651807,1.5749222,5.5302124,0,17,0.72455019,1,0,0,1102.7974,1102.7974
14,0.17055355,0.13627493,0.65837401,0.054206464,-0.7349391,0.15319848,1.621855,0.61378878,3.0816317,29.593937,5.0473509,4.0329118,35.558159,10.882027,5.0797362,4.5890298,1.4432402,4.4247327,0,21,0.018511251,1,1,1,1136.2155,1136.2155
15,1,0.63245553,-0.24434273,-0.76961488,0.050979741,0.58769947,3.9269907,2.186276,0.78539819,2.6515865,2.6515865,1.6770105,41.875,56.391663,59.741661,1.3137549,1.3899748,2.0947652,0,5,0.59761667,1,0,0,44.557468,44.557468
16,0.27919352,0.22512551,-0.05119599,0.76881933,0.13514636,0.62292165,3.5402057,1.5625522,4.7205458,17.510494,4.8888168,3.942059,38.233318,42.633339,4.7666664,4.5652366,1.7593193,1.2906593,0,15,0.041030511,1,1,1,746.33759,746.33759
17,0.79756659,0.77408761,-0.65978545,-0.0054449253,0.71927375,0.21748301,1.4672639,1.1879892,6.0920138,5.3574967,4.2729607,4.147172,2.430392,30.084309,20.428429,5.0142665,1.4411262,4.9977617,0,11,0.78350133,1,1,1,378.73849,378.73849
18,0.62017369,0.4599331,-0.38779351,-0.56879246,-0.6069594,0.39710408,1.5707964,1.5707964,4.3583736,4.3238525,2.6815393,1.9886829,42.712494,40.199993,26.799997,1.9638391,1.51859,0.019037301,0,5,0.66866201,1,0,0,89.114937,89.114937
19,0.90378964,0.88765174,0,0,0,1,1.581439,0.84911036,4.5521932,6.8082762,6.1532497,6.0433784,10.749454,29.524172,19.805492,4.3356385,1.9450886,4.8133702,0,18,0.79791951,1,0,0,1013.6824,1013.6824
